M	rs1490413
M	rs560681
M	rs1294331
M	rs10495407
M	rs891700
M	rs1413212
M	rs876724
M	rs1109037
M	rs993934
M	rs12997453
M	rs907100
M	rs1357617
M	rs4364205
M	rs2399332
M	rs1355366
M	rs6444724
M	rs2046361
M	rs279844
M	rs6811238
M	rs1979255
M	rs717302
M	rs159606
M	rs13182883
M	rs251934
M	rs338882
M	rs13218440
M	rs1336071
M	rs214955
M	rs727811
M	rs6955448
M	rs917118
M	rs321198
M	rs737681
M	rs763869
M	rs10092491
M	rs2056277
M	rs4606077
M	rs1015250
M	rs7041158
M	rs1463729
M	rs1360288
M	rs10776839
M	rs826472
M	rs735155
M	rs3780962
M	rs740598
M	rs964681
M	rs1498553
M	rs901398
M	rs10488710
M	rs2076848
M	rs2107612
M	rs2269355
M	rs2920816
M	rs2111980
M	rs10773760
M	rs1335873
M	rs1886510
M	rs1058083
M	rs354439
M	rs1454361
M	rs722290
M	rs873196
M	rs4530059
M	rs1821380
M	rs8037429
M	rs1528460
M	rs729172
M	rs2342747
M	rs430046
M	rs1382387
M	rs9905977
M	rs740910
M	rs938283
M	rs8078417
M	rs1493232
M	rs9951171
M	rs1736442
M	rs1024116
M	rs719366
M	rs576261
M	rs1031825
M	rs445251
M	rs1005533
M	rs1523537
M	rs722098
M	rs2830795
M	rs2831700
M	rs914165
M	rs221956
M	rs733164
M	rs987640
M	rs2040411
M	rs1028528
